id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,zipcode
705942905028304182,"ATX Spacious 4 Bedroom, GREAT location!",477247619,Madalynn,,78751,30.31848,-97.72896,Entire home/apt,238,2,0,,,37,347,0,Austin,78751.0
715348973085530953,Warm 1B/1B - Pool - Heart of SoLa - 5 min to DT,107190530,Mariah And Hailie,,78704,30.23864,-97.78265,Entire home/apt,112,1,21,2023-02-28,3.66,3,358,21,Austin,78704.0
724732025648872772,"Luxe Stay for 8, King Beds, Gym & Heated Pool",445274785,Roaming.Homes,,78701,30.2564542,-97.738827,Entire home/apt,335,2,1,2022-11-13,0.24,4,163,1,Austin,78701.0
733138171595919480,Large deck on the greenbelt,21151510,Anna,,78749,30.21402,-97.85817,Entire home/apt,200,2,3,2022-12-18,0.76,1,0,3,Austin,78749.0
745665846462911076,Calm and inviting blue room,17177730,Savannah,,78744,30.1589,-97.7796,Private room,35,28,0,,,2,313,0,Austin,78747.0
758730879792714678,"Cozy studio 
in a quiet area close to everything",26185286,Silvia,,78756,30.32793,-97.73173,Entire home/apt,60,14,2,2023-01-03,0.7,1,123,2,Austin,78756.0
772437576223794497,Austin Luxury| Rooftop Pool| 2BR by Barclé Group,387932846,Barclé Group LLC,,78701,30.25753,-97.73797,Entire home/apt,296,1,5,2023-03-05,2.5,20,99,5,Austin,78701.0
782614022136493742,Corner Condo 2BR Lakeview Natiivo Austin 27th-flo,464404919,Vacasa Texas,,78701,30.25549,-97.73857,Entire home/apt,373,1,18,2023-02-27,1.81,102,344,18,Austin,78767.0
796508092133932050,Private room 2,482811422,Consuelo,,78724,30.3036415811372,-97.62519977967877,Private room,46,1,3,2023-03-05,3.0,3,362,3,Austin,78724.0
806803784829308160,Cozy home with beautiful view,496673368,Sara,,78759,30.40239859999999,-97.760961,Entire home/apt,271,2,1,2023-03-12,1.0,1,84,1,Austin,78759.0
819663872047096028,Comfy King Suite Retreat | Pool | Gym | 5min > DT,423445570,Ridge And Dan,,78704,30.237331987487195,-97.78435952866374,Entire home/apt,49,1,11,2023-03-14,9.43,5,351,11,Austin,78704.0
